,keywords,relevance,paper
1080,response distributions,0.5209,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1562,cosmological information,0.5204,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
301,kernel ridge regression,0.5202,Metric learning for kernel ridge regression: assessment of molecular similarity
481,different classification algorithms,0.5199,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
641,tree reconstruction,0.5181,Learning tree structures from leaves for particle decay reconstruction
860,holistic optimization method,0.5181,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
760,noisy mmwave radar,0.5178,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1081,posterior simulations,0.5163,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1240,optimal injection attack strategy,0.5158,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
521,esophageal speech,0.513,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
621,hamiltonian monte carlo,0.5095,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
361,cpu vulnerability detection,0.5049,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1201,secure transmission,0.5029,Physical layer security techniques for data transmission for future wireless networks
421,generative model,0.5027,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1141,deep packet inspection,0.5023,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1582,lhc,0.5008,Particle-based fast jet simulation at the LHC with variational autoencoders
841,intra subpartition prediction,0.4983,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1583,reconstructed particles,0.4973,Particle-based fast jet simulation at the LHC with variational autoencoders
842,hevc ai,0.4958,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1101,supervised classiﬁcation,0.4951,Box-constrained optimization for minimax supervised learning
942,smart supply chains,0.4941,How to apply the ERP model for Smart Mining?
1020,memristor,0.4936,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
582,parallel flower pollination algorithm,0.4929,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
121,routing plan,0.4925," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1021,hopfield networks,0.4919,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
924,serbian digital factory,0.4917,Management of tools in digital manufacturing - A case study
2,future mobile networks,0.4908,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1142,sdn architecture,0.4892,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
600,power grid,0.4867,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
720,numerical ricci,0.4864,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1181,uncertain network attacks,0.4864,Problems and solutions regarding generalized functional safety in cyberspace
661,genetic algorithms,0.486,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
362,memory coalescing,0.4847,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
662,industrial robot arm,0.4845,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
241,semiconductor noise,0.4817,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1182,cybersecurity technologies,0.4797,Problems and solutions regarding generalized functional safety in cyberspace
741,artiﬁcial microwave neurons,0.4793,Convolutional neural networks with radio-frequency spintronic nano-devices
62,dns service failure,0.4788,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
781,photon information capacity,0.4773,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1602,silicon photonics platform,0.4766,Massively scalable wavelength diverse integrated photonic linear neuron
1281,automatic control systems,0.4763,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1282,industrial cyber physical systems,0.4734,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
381,glassy dynamics,0.4721,Subaging in underparametrized deep neural networks 
1400,finite element model preparation,0.472,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1641,deepadversaries,0.4712,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
1461,iot applications,0.4682,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
182,energy consumption,0.4681,Carbon Footprint vs Energy Optimization in IoT Network Deployments
522,discrete wavelet transform,0.4676,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
501,scma encoder,0.4672,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
742,nano devices,0.4665,Convolutional neural networks with radio-frequency spintronic nano-devices
881,cut material parameters,0.4627,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1082,adaptive sampling strategies,0.4607,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1002,latest array databases,0.4596,Multi-Dimensional Data Compression and Query Processing in Array Databases
402,deep learning systems,0.4562,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
20,parametric networks,0.4552,Improving parametric neural networks for highenergy physics (and beyond)
681,neural networks force,0.4549,Quantum neural networks force fields generation
721,cy manifolds,0.4542,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1121,new multilevel minimization framework,0.4537,Multilevel minimization for deep residual networks
1321,microscopic images,0.4525,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
663,harris hawk optimizer,0.4525,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1183,security assurance,0.4521,Problems and solutions regarding generalized functional safety in cyberspace
801,superconductivity,0.4494,superconducting nanowire-based architecture for neuromorphic computing
1382,simulation technologies,0.4488,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
21,multiple signal mass hypotheses,0.4468,Improving parametric neural networks for highenergy physics (and beyond)
1261,random channel characteristics,0.4464,Secure transmission technology based on direct modulation with random channel characteristics
821,deep learning,0.4464,Deep learning via message passing algorithms based on belief propagation
722,string theory,0.4461,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1161,abstract secure,0.4422,Concretely efficient secure multi-party computation protocols: survey and more
782,structured photons,0.4422,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
743,convolutional layers,0.442,Convolutional neural networks with radio-frequency spintronic nano-devices
1342,optical ampliﬁer,0.4416,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
422,hierarchical flow,0.4398,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1202,wireless mobile communications,0.4391,Physical layer security techniques for data transmission for future wireless networks
961,random forest,0.438,Method for Profile-Guided Optimization of Android Applications Using Random Forest
561,famous matrix factorization methods,0.4377,Non-negative Matrix Factorization for Dimensionality Reduction
200,clinical memory research unit,0.4377,Neural network training with highly incomplete medical datasets
382,mnist database,0.4372,Subaging in underparametrized deep neural networks 
682,electronic structure calculations,0.4369,Quantum neural networks force fields generation
622,bayesian estimation,0.4333,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
482,computer security data sets,0.4327,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
341,index terms iot,0.4317,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
783,multimode fibers,0.4302,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1401,tree data structure implementation,0.4297,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
222,cluster environments,0.4283,Detection of Cluster Anomalies With ML Techniques
701,nn dynamics,0.4282,A duality connecting neural network and cosmological dynamics
122,logistics service provider,0.4269," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1083,logistic gaussian model,0.4266,Goal-oriented adaptive sampling under random field modelling of response probability distributions
822,sparse networks,0.4263,Deep learning via message passing algorithms based on belief propagation
1622,human eye,0.426,Learning torsional eye movements through active efficient coding
601,fuzzy logic controller,0.4256,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
1642,cosmological physics,0.4243,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
142,neuromorphic algorithms,0.4241, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
321,fault tolerance,0.4241,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1262,mobile communications,0.4239,Secure transmission technology based on direct modulation with random channel characteristics
1502,current memristor device,0.4237,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
302,computational molecular design,0.4225,Metric learning for kernel ridge regression: assessment of molecular similarity
1563,thermal sunyaev,0.4216,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
562,face image database,0.4213,Non-negative Matrix Factorization for Dimensionality Reduction
1623,active efﬁcient coding,0.4204,Learning torsional eye movements through active efficient coding
1503,hardware spiking,0.42,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
523,substitution voice,0.4196,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1102,discrete empirical bayes risk,0.4188,Box-constrained optimization for minimax supervised learning
161,similarity metrics,0.4182,A biology-informed similarity metric for simulated patches of human cell membrane
802,nanowire,0.4181,superconducting nanowire-based architecture for neuromorphic computing
1624,sensorimotor contingencies,0.418,Learning torsional eye movements through active efficient coding
423,renormalization group,0.4175,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1103,probabilistic simplex,0.4172,Box-constrained optimization for minimax supervised learning
1221,intelligent transportation systems,0.4171,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
123,mixed integer programming formulations,0.4142," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1104,concave multivariate piecewise,0.4137,Box-constrained optimization for minimax supervised learning
1184,random physical failures,0.4119,Problems and solutions regarding generalized functional safety in cyberspace
82,evolutionary algorithm,0.4119, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
943,business automation,0.4111,How to apply the ERP model for Smart Mining?
363,efﬁcient architectural defense approach,0.4101,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1122,backward propagation,0.4091,Multilevel minimization for deep residual networks
1542,vast chemical space,0.4069,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1241,security defense,0.4033,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
281,breathing signals,0.4023,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1263,cyberspace security,0.4019,Secure transmission technology based on direct modulation with random channel characteristics
342,security requirements,0.3996,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1264,direct modulation,0.3985,Secure transmission technology based on direct modulation with random channel characteristics
22,large hadron collider,0.3984,Improving parametric neural networks for highenergy physics (and beyond)
1242,networked magnetic levitation steel ball movement system,0.3982,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
744,spintronic resonators,0.3975,Convolutional neural networks with radio-frequency spintronic nano-devices
524,wiener filter,0.3969,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
861,optimal decisions,0.3968,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
683,quantum nn architecture,0.3959,Quantum neural networks force fields generation
862,production activity management,0.3958,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
761,general neuromorphic framework,0.3952,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1003,analytical query processing performance,0.3942,Multi-Dimensional Data Compression and Query Processing in Array Databases
461,association rule mining,0.3938,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1361,finite element analysis,0.3931,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1185,dynamic heterogeneity redundancy,0.393,Problems and solutions regarding generalized functional safety in cyberspace
1162,cooperative computing,0.391,Concretely efficient secure multi-party computation protocols: survey and more
242,spintronics,0.3909,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
483,new attacks,0.3906,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
563,nonnegative data,0.3896,Non-negative Matrix Factorization for Dimensionality Reduction
944,industrial manufacturing,0.3886,How to apply the ERP model for Smart Mining?
1522,smart wearables,0.3876,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
962,performance characteristics,0.3828,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1603,microelectronics chips,0.3826,Massively scalable wavelength diverse integrated photonic linear neuron
1222,federated learning,0.382,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1625,neuromorphic hardware,0.382,Learning torsional eye movements through active efficient coding
963,poor program performance,0.3817,Method for Profile-Guided Optimization of Android Applications Using Random Forest
964,same application launch time,0.3815,Method for Profile-Guided Optimization of Android Applications Using Random Forest
843,average bitrate savings,0.3813,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
863,reduced instances database,0.3813,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1584,sparse data simulation,0.3811,Particle-based fast jet simulation at the LHC with variational autoencoders
784,integrated photonics,0.3808,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1004,tree data structures,0.3799,Multi-Dimensional Data Compression and Query Processing in Array Databases
1626,adaptive mechanism,0.3797,Learning torsional eye movements through active efficient coding
261,microservice approach,0.3788,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
262,signiﬁcant resource allocation,0.3785,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
901,torsional vibrations,0.3784,Digital Twins for Micro Machining
1627,autonomous artiﬁcial vision systems,0.3781,Learning torsional eye movements through active efficient coding
623,neural mass models,0.3781,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1301,financial network security,0.3777,Implicit privacy preservation: a framework based on data generation
1022,artiﬁcial associative memories,0.3776,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1163,cryptography,0.3775,Concretely efficient secure multi-party computation protocols: survey and more
1062,outliers,0.3767,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
282,electroencephalography,0.3751,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
564,negative vectors,0.3736,Non-negative Matrix Factorization for Dimensionality Reduction
364,gpu architecture,0.373,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1383,visual computing,0.372,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
723,topological computations,0.3713,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
684,theoretical physics,0.3712,Quantum neural networks force fields generation
1023,magnetic tunnel junctions,0.3709,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1024,torque oscillators,0.3705,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
803,cmos,0.3701,superconducting nanowire-based architecture for neuromorphic computing
864,turning process,0.3698,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
403,neuron interconnections,0.3695,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
201,medical datasets,0.3677,Neural network training with highly incomplete medical datasets
383,slow evolution,0.3671,Subaging in underparametrized deep neural networks 
322,demand routing,0.3667,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
542,rush hours,0.3663,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
702,vast scales,0.366,A duality connecting neural network and cosmological dynamics
981,software defined networking,0.3657,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1343,noisy optical inputs,0.3649,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
543,aviation users,0.3629,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1143,cybersecurity technology pillar,0.3629,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
544,machine learning classiﬁers,0.3618,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
902,mechatronics,0.3602,Digital Twins for Micro Machining
1384,semantic technologies,0.3596,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
365,heavy computations,0.3595,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
42,deep learning,0.3595,Audiogram Digitization Tool for Audiological Reports
1402,geometrical data,0.3582,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1005,indexes,0.3573,Multi-Dimensional Data Compression and Query Processing in Array Databases
785,dimensional superposition modes,0.3559,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
384,loss function,0.3552,Subaging in underparametrized deep neural networks 
202,network training algorithms,0.3552,Neural network training with highly incomplete medical datasets
203,single neural network,0.3532,Neural network training with highly incomplete medical datasets
786,quantum level,0.3522,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
23,such potential new particles,0.3512,Improving parametric neural networks for highenergy physics (and beyond)
1523,ar hmds,0.3511,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1203,key generation,0.3508,Physical layer security techniques for data transmission for future wireless networks
1123,complex statistical learning tasks,0.3502,Multilevel minimization for deep residual networks
83,geographical data,0.3499, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
484,confusion matrix,0.3498,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
945,surface coal mine,0.3498,How to apply the ERP model for Smart Mining?
1302,gan,0.3493,Implicit privacy preservation: a framework based on data generation
1322,rich texture,0.3492,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
63,friendly domain,0.3488,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
263,iot,0.3487,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
642,neural approach,0.3486,Learning tree structures from leaves for particle decay reconstruction
703,particle physics,0.3485,A duality connecting neural network and cosmological dynamics
1643,telescope errors,0.3476,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
343,entropy weight values,0.3474,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
143,bipolar resistive switches,0.3473, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
