,keywords,relevance,conference
148,bibliographic literature review,0.4177,Renewable and Sustainable Energy Reviews
3,authentication algorithm,0.4086,International Journal of Computer Science and Network Security (JCSNS )
4,protocols mobile computing,0.4059,International Journal of Computer Science and Network Security (JCSNS )
149,scope mission renewable,0.4024,Renewable and Sustainable Energy Reviews
130,phonology,0.398,
93,technical organizational,0.3912,Australasian Conference on Information Systems
5,agent computings,0.39,International Journal of Computer Science and Network Security (JCSNS )
68,intelligent systems animal,0.3849,
131,investigationes,0.3797,
29,international forum publication,0.3796,
6,biometrics recognitions technologies,0.378,International Journal of Computer Science and Network Security (JCSNS )
30,survey papers technical,0.3773,
132,english,0.374,
7,information security papers,0.3692,International Journal of Computer Science and Network Security (JCSNS )
31,provide international,0.367,
8,parallel processings distributed,0.3576,International Journal of Computer Science and Network Security (JCSNS )
150,gas geothermal,0.351,Renewable and Sustainable Energy Reviews
133,studies describe resources,0.3488,
151,resources bioresources,0.3467,Renewable and Sustainable Energy Reviews
32,disciplines science engineering,0.3463,
94,australasian,0.3457,Australasian Conference on Information Systems
69,machine learning pattern,0.3369,
54,clustering probabilistic modelling,0.3365,Data Mining and Knowledge Discovery
70,ai based precision,0.3278,
71,robotics automation equipment,0.3168,
72,neuro fuzzy systems,0.3157,
134,formalized,0.3148,
95,organizational business social,0.3128,Australasian Conference on Information Systems
112,science discovery related,0.3093,
33,publishes innovative,0.3038,
34,technical notes,0.3025,
55,dmkd summary scope,0.2945,Data Mining and Knowledge Discovery
96,technology real,0.2894,Australasian Conference on Information Systems
9,quantum computing coding,0.2823,International Journal of Computer Science and Network Security (JCSNS )
73,management intelligent interfaces,0.2796,
10,rfid applications topics,0.279,International Journal of Computer Science and Network Security (JCSNS )
11,results areas computer,0.2762,International Journal of Computer Science and Network Security (JCSNS )
152,sector policy decision,0.2669,Renewable and Sustainable Energy Reviews
153,technology analyses significant,0.2637,Renewable and Sustainable Energy Reviews
113,internet things cyber,0.2628,
74,sensors internet things,0.2599,
154,life cycle assessment,0.2566,Renewable and Sustainable Energy Reviews
155,protection ocean journal,0.2512,Renewable and Sustainable Energy Reviews
135,articles,0.2493,
156,transition low carbon,0.2483,Renewable and Sustainable Energy Reviews
157,batteries conversion technologies,0.2455,Renewable and Sustainable Energy Reviews
114,materials chemistry digital,0.2433,
12,neural networks biomedical,0.2417,International Journal of Computer Science and Network Security (JCSNS )
13,evolutions cdma,0.2411,International Journal of Computer Science and Network Security (JCSNS )
136,software,0.2376,
158,review element may,0.2356,Renewable and Sustainable Energy Reviews
56,uncertainty management metrics,0.2322,Data Mining and Knowledge Discovery
137,publishes bibliographies summaries,0.2314,
75,image signal,0.2268,
115,include limited automation,0.2261,
97,world problems,0.2208,Australasian Conference on Information Systems
14,virtual visions object,0.2127,International Journal of Computer Science and Network Security (JCSNS )
76,optimize production operation,0.2104,
77,logistics big data,0.205,
57,algorithmic complexity efficiency,0.2012,Data Mining and Knowledge Discovery
98,issues application,0.1966,Australasian Conference on Information Systems
15,artifial intelligences,0.1959,International Journal of Computer Science and Network Security (JCSNS )
116,edge research interface,0.1947,
117,leading journal cutting,0.1913,
118,sustainable development goals,0.1906,
138,speaking free,0.1872,
16,aim,0.1645,International Journal of Computer Science and Network Security (JCSNS )
35,aim,0.162,
36,review,0.1574,
17,defining spectrum,0.1547,International Journal of Computer Science and Network Security (JCSNS )
58,forum unifying diverse,0.1532,Data Mining and Knowledge Discovery
18,field ijcsns,0.1524,International Journal of Computer Science and Network Security (JCSNS )
78,ledger technology blockchain,0.1472,
119,bespoke,0.1422,
37,understanding main related,0.1422,
159,un,0.1253,Renewable and Sustainable Energy Reviews
19,offers,0.1197,International Journal of Computer Science and Network Security (JCSNS )
59,olap,0.1062,Data Mining and Knowledge Discovery
38,print,0.0835,
79,solutions related,0.08,
139,squibs reviews contributions,0.0723,
99,covering,0.0505,Australasian Conference on Information Systems
39,dealing numerous,-0.0025,
